"Time","Frequency (Hz)","Level (dBm)","Level_1 (dBm)","Level_2 (dBm)","Level_3 (dBm)","Value Count","File Info"
"8/8/2021  20:10:00,000","  2122100000"," -96,1","   5,7","-114,7"," -85,4","136",
"8/8/2021  20:10:00,000","  2122200000"," -95,7","   5,1","-112,5"," -86,0","136",
"8/8/2021  20:10:00,000","  2122300000"," -95,5","   5,2","-120,2"," -84,8","136",
"8/8/2021  20:10:00,000","  2122400000"," -96,8","   6,7","-125,4"," -85,3","136",
"8/8/2021  20:10:00,000","  2122500000"," -97,0","   5,6","-113,6"," -86,0","136",
"8/8/2021  20:10:00,000","  2122600000"," -97,8","   6,1","-125,3"," -87,1","136",
"8/8/2021  20:10:00,000","  2122700000"," -96,8","   5,6","-133,2"," -88,0","136",
"8/8/2021  20:10:00,000","  2122800000"," -96,7","   5,7","-118,8"," -87,0","136",
"8/8/2021  20:10:00,000","  2122900000"," -96,5","   4,9","-108,0"," -86,4","136",
"8/8/2021  20:10:00,000","  2123000000"," -97,7","   7,3","-137,0"," -85,5","136",
"8/8/2021  20:10:00,000","  2123100000"," -96,8","   6,1","-117,7"," -84,9","136",
"8/8/2021  20:10:00,000","  2123200000"," -96,8","   6,2","-114,0"," -86,6","136",
"8/8/2021  20:10:00,000","  2123300000"," -96,8","   5,8","-120,4"," -87,4","136",
"8/8/2021  20:10:00,000","  2123400000"," -97,2","   6,1","-113,6"," -83,3","136",
"8/8/2021  20:10:00,000","  2123500000"," -97,1","   6,5","-126,4"," -83,1","136",
"8/8/2021  20:10:00,000","  2123600000"," -96,4","   5,0","-107,9"," -85,7","136",
"8/8/2021  20:10:00,000","  2123700000"," -96,6","   5,3","-109,8"," -85,5","136",
"8/8/2021  20:10:00,000","  2123800000"," -96,6","   5,8","-119,4"," -86,8","136",
"8/8/2021  20:10:00,000","  2123900000"," -98,0","   7,0","-138,1"," -87,0","136",
"8/8/2021  20:10:00,000","  2124000000"," -98,3","   5,7","-114,8"," -88,3","136",
"8/8/2021  20:10:00,000","  2124100000"," -97,9","   5,6","-118,8"," -85,8","136",
"8/8/2021  20:10:00,000","  2124200000"," -97,9","   5,3","-118,5"," -88,2","136",
"8/8/2021  20:10:00,000","  2124300000"," -99,4","   5,4","-121,5"," -87,8","136",
"8/8/2021  20:10:00,000","  2124400000","-101,4","   5,6","-122,5"," -88,9","136",
"8/8/2021  20:10:00,000","  2124500000","-104,2","   6,5","-132,0"," -94,2","136",
"8/8/2021  20:10:00,000","  2124600000","-107,0","   6,5","-138,7"," -96,7","136",
"8/8/2021  20:10:00,000","  2124700000","-111,2","   6,2","-141,8","-100,9","136",
"8/8/2021  20:10:00,000","  2124800000","-112,6","   5,7","-129,6","-103,1","136",
"8/8/2021  20:10:00,000","  2124900000","-112,1","   5,4","-130,8","-103,0","136",
"8/8/2021  20:10:00,000","  2125000000","-110,2","   5,5","-142,1","-100,7","136",
